timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1760369195738,1699,Take a vote,200,OK,Thread Group 1-20,text,true,,1110,329,83,83,http://localhost:9000/invoice/calculate,,1699,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,0
1760369195718,1727,Take a vote,200,OK,Thread Group 1-18,text,true,,1110,329,82,82,http://localhost:9000/invoice/calculate,,1727,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195698,1757,Take a vote,200,OK,Thread Group 1-16,text,true,,1110,329,81,81,http://localhost:9000/invoice/calculate,,1757,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195787,1784,Take a vote,200,OK,Thread Group 1-25,text,true,,1110,329,80,80,http://localhost:9000/invoice/calculate,,1784,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195778,1793,Take a vote,200,OK,Thread Group 1-24,text,true,,1110,329,80,80,http://localhost:9000/invoice/calculate,,1793,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195768,1803,Take a vote,200,OK,Thread Group 1-23,text,true,,1110,329,80,80,http://localhost:9000/invoice/calculate,,1803,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195748,1824,Take a vote,200,OK,Thread Group 1-21,text,true,,1110,329,79,79,http://localhost:9000/invoice/calculate,,1824,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,18
1760369195798,1778,Take a vote,200,OK,Thread Group 1-26,text,true,,1110,329,76,76,http://localhost:9000/invoice/calculate,,1778,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195758,1818,Take a vote,200,OK,Thread Group 1-22,text,true,,1110,329,76,76,http://localhost:9000/invoice/calculate,,1818,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,8
1760369195857,1726,Take a vote,200,OK,Thread Group 1-32,text,true,,1110,329,74,74,http://localhost:9000/invoice/calculate,,1725,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195817,1766,Take a vote,200,OK,Thread Group 1-28,text,true,,1110,329,74,74,http://localhost:9000/invoice/calculate,,1766,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195878,1705,Take a vote,200,OK,Thread Group 1-34,text,true,,1110,329,74,74,http://localhost:9000/invoice/calculate,,1705,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195917,1666,Take a vote,200,OK,Thread Group 1-38,text,true,,1110,329,74,74,http://localhost:9000/invoice/calculate,,1666,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195888,1697,Take a vote,200,OK,Thread Group 1-35,text,false,"Value in json path '$.tally' expected to be '{""14499.75"": 3}', but found '{""14499.75"":2,""-1399.98"":1}'",1123,329,70,70,http://localhost:9000/invoice/calculate,,1697,UTF-8,1,1,santiago-ThinkPad-E14-Gen-5,0,1
1760369195827,1758,Take a vote,200,OK,Thread Group 1-29,text,true,,1110,329,70,70,http://localhost:9000/invoice/calculate,,1758,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195847,1739,Take a vote,200,OK,Thread Group 1-31,text,true,,1110,329,70,70,http://localhost:9000/invoice/calculate,,1739,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,0
1760369195898,1687,Take a vote,200,OK,Thread Group 1-36,text,true,,1110,329,70,70,http://localhost:9000/invoice/calculate,,1687,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,0
